polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=691/20260708_014713_00700_yxnpm-b2963ba8-56df-4c42-aa8e-16684678b99a.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=789/20260708_014748_00799_yxnpm-d39b08b3-804e-4f34-806b-621c2870a508.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=789/20260708_014748_00799_yxnpm-d39b08b3-804e-4f34-806b-621c2870a508.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 2) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=689/20260708_014712_00698_yxnpm-4cb173d6-eab8-498a-b563-60393528774f.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=689/20260708_014712_00698_yxnpm-4cb173d6-eab8-498a-b563-60393528774f.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=688/20260708_014712_00697_yxnpm-43c6d11f-08c8-404c-98fd-3723f893b55c.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=688/20260708_014712_00697_yxnpm-43c6d11f-08c8-404c-98fd-3723f893b55c.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=725/20260708_014725_00734_yxnpm-aadd7ceb-77a8-41d7-bf64-b82bdf1c6010.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=725/20260708_014725_00734_yxnpm-aadd7ceb-77a8-41d7-bf64-b82bdf1c6010.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=732/20260708_014727_00741_yxnpm-11164a61-5a3a-4b7e-bf07-b62145c733d1.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=732/20260708_014727_00741_yxnpm-11164a61-5a3a-4b7e-bf07-b62145c733d1.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: The target server failed to respond (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=728/20260708_014726_00737_yxnpm-96263401-99db-4f29-a6e5-c02c64492e41.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=728/20260708_014726_00737_yxnpm-96263401-99db-4f29-a6e5-c02c64492e41.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: The target server failed to respond (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=827/20260708_014802_00844_yxnpm-0c6e297f-c10a-4c00-9af9-389cbd8128f5.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=827/20260708_014802_00844_yxnpm-0c6e297f-c10a-4c00-9af9-389cbd8128f5.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 3) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=721/20260708_014724_00730_yxnpm-58b7c13d-7cb1-4f5a-abc7-79b07c080de3.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=721/20260708_014724_00730_yxnpm-58b7c13d-7cb1-4f5a-abc7-79b07c080de3.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,742 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=825/20260708_014802_00841_yxnpm-68996942-0d12-457c-b1ba-d446fb9266d4.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
